variant,contrast,dataset,case_label,control_label,module,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,direction,supports_ama_attenuation_direction,fdr_within_all_module_tests
original_disjoint,GSE132176_TOF_POST_vs_PRE_CPB_paired,GSE132176,TOF post-CPB,TOF pre-CPB,AMA,paired_t,10,10,-0.03133626502832777,-1.3988810110276972e-15,-0.03133626502832635,-0.3502976183783117,0.28762508832165895,0.8290845650244212,-0.0702800303544715,lower_in_case,False,0.9148519338200509
original_disjoint,GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,AMA,paired_t,10,10,0.11042611952586212,-1.2934098236883074e-15,0.11042611952586338,-0.5753760367187949,0.7962282757705216,0.7240845387308497,0.115184950182903,higher_in_case,True,0.8788269533525155
original_disjoint,GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,HLHS ventricle,healthy right ventricle,AMA,welch_t,6,5,0.24473823660405114,6.217248937900876e-16,0.24473823660405053,-0.8516730724899246,1.3411495456980256,0.6005472542035798,0.35672957569026587,higher_in_case,True,0.8355440058484589
original_disjoint,GSE23959_HLHS_ventricle_vs_all_healthy_ventricles_sensitivity,GSE23959,HLHS ventricle,all healthy ventricles,AMA,welch_t,6,10,0.10856281761960634,-7.216449660063518e-17,0.10856281761960641,-0.5844048948206506,0.8015305300598634,0.741510241891185,0.1479495342633,higher_in_case,True,0.8788269533525155
original_disjoint_no_mesenchymal,GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF right ventricle,healthy right ventricle,AMA,welch_t,22,4,0.38824203309292993,5.551115123125783e-16,0.3882420330929294,-0.9617758039895504,1.7382598701754093,0.5286392890640079,0.22540870388503315,higher_in_case,True,0.6879762542583913
original_disjoint_no_mesenchymal,GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF right ventricle,all healthy ventricles,AMA,welch_t,22,8,0.39602467936734254,8.604228440844963e-16,0.39602467936734165,-0.6974571226927049,1.4895064814273882,0.4641192861829366,0.21367323272027783,higher_in_case,True,0.6457311807762596
original_disjoint_no_mesenchymal,GSE217772_TOF_RV_vs_healthy_RV,GSE217772,TOF right ventricle,healthy right ventricle,AMA,welch_t,5,5,1.6141192138280176,-1.6653345369377348e-16,1.6141192138280178,-0.020291409098668556,3.248529836754704,0.052185269860753385,1.4879775507956516,higher_in_case,True,0.13995716363472213
original_disjoint_no_mesenchymal,GSE132176_TOF_PRE_CPB_vs_ASD_PRE_CPB,GSE132176,TOF pre-CPB right atrium,ASD pre-CPB right atrium,AMA,welch_t,10,10,-0.8415826029407224,1.887379141862766e-16,-0.8415826029407226,-1.4665937980122075,-0.21657140786923768,0.01154371863865771,-1.27885425323556,lower_in_case,False,0.05277128520529239
original_disjoint_no_mesenchymal,GSE132176_TOF_POST_vs_PRE_CPB_paired,GSE132176,TOF post-CPB,TOF pre-CPB,AMA,paired_t,10,10,0.520065022198552,-5.440092820663267e-16,0.5200650221985526,0.18600489566991385,0.8541251487271913,0.006497786493507189,1.1136680963677583,higher_in_case,True,0.041585833558446014
original_disjoint_no_mesenchymal,GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ASD post-CPB,ASD pre-CPB,AMA,paired_t,10,10,0.4546611848504473,1.887379141862766e-16,0.45466118485044704,-0.14368137445480655,1.0530037441557005,0.11974428624431484,0.543576607415692,higher_in_case,True,0.23948857248862968
