contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-17,case,ecm_integrin,11.584188205094415,1.2614097352988123
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-20,case,ecm_integrin,10.841937684405162,-0.23436865168026716
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-22,case,ecm_integrin,10.809771485698151,-0.29918976460120106
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-03,control,ecm_integrin,10.976216844928098,0.03622983297339379
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-05,control,ecm_integrin,11.205475094139778,0.4982295549662595
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-06,control,ecm_integrin,10.242614357570874,-1.4421210938862739
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-07,control,ecm_integrin,11.406104644538678,0.902536910651686
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-01,control,ecm_integrin,10.464529685553364,-0.9949187786526699
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-02,control,ecm_integrin,10.669317630496677,-0.5822314535220358
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-04,control,ecm_integrin,10.954536839210107,-0.0074595725287286046
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-08,control,ecm_integrin,11.747112943076933,1.5897345999983759
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,tgfb_endmt,8.181476576133644,-0.8879525233094517
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,tgfb_endmt,8.122594258000284,-1.0817525763187426
