subset,method,pair,sensitivity,n_chd,n_donor,difference_mean_fisher_z_chd_minus_donor,difference_on_correlation_scale,mean_fisher_z_chd,mean_fisher_z_donor,mean_correlation_chd,mean_correlation_donor,exact_p_two_sided,exact_p_lower_in_chd,n_label_permutations,fdr_q_three_pairs
blood_endothelial,pearson,Matrix–plasticity transcripts,high_contamination_excluded,3,4,0.06488512107805752,0.06485988979309784,0.038625049605797525,-0.026260071472259998,0.03860585289569891,-0.026254036897398938,0.17142857142857143,0.9428571428571428,35,0.5142857142857142
blood_endothelial,pearson,Mean three-pair coupling,all_structural_individuals,6,4,0.044049507935076324,0.044042341271761,0.021009327897464635,-0.023040180037611685,0.021006237327694167,-0.02303610394406683,0.0380952380952381,0.9809523809523809,210,
blood_endothelial,pearson,Mean three-pair coupling,high_contamination_excluded,3,4,0.028402737368984708,0.028398609872306302,0.005362557331373023,-0.023040180037611685,0.00536250592823947,-0.02303610394406683,0.2,0.9142857142857143,35,
blood_endothelial,spearman,Arterial–matrix,all_structural_individuals,6,4,0.03509482614579894,0.035008537073356494,-0.031040571998848663,-0.0661353981446476,-0.031030606465540594,-0.06603914353889709,0.43333333333333335,0.7904761904761904,210,0.5095238095238095
blood_endothelial,spearman,Arterial–matrix,high_contamination_excluded,3,4,0.02116901230460117,0.021103040189060306,-0.044966385840046426,-0.0661353981446476,-0.04493610334983678,-0.06603914353889709,0.6857142857142857,0.6857142857142857,35,0.9142857142857143
blood_endothelial,spearman,Arterial–plasticity transcripts,all_structural_individuals,6,4,0.024767849527656656,0.02469676326140264,0.06553344749772513,0.04076559797006848,0.06543979434704043,0.040743031085637794,0.5095238095238095,0.7428571428571429,210,0.5095238095238095
blood_endothelial,spearman,Arterial–plasticity transcripts,high_contamination_excluded,3,4,0.0038103888353326412,0.0038034547288548076,0.04457598680540112,0.04076559797006848,0.0445464858144926,0.040743031085637794,0.9142857142857143,0.5714285714285714,35,0.9142857142857143
blood_endothelial,spearman,Matrix–plasticity transcripts,all_structural_individuals,6,4,0.07137278890357751,0.07133979718060134,0.04185246695572572,-0.0295203219478518,0.041828047400371986,-0.029511749780229354,0.1,0.9619047619047619,210,0.30000000000000004
blood_endothelial,spearman,Matrix–plasticity transcripts,high_contamination_excluded,3,4,0.06633019456789124,0.06630500602191577,0.03680987262003944,-0.0295203219478518,0.036793256241686424,-0.029511749780229354,0.11428571428571428,0.9714285714285714,35,0.34285714285714286
blood_endothelial,spearman,Mean three-pair coupling,all_structural_individuals,6,4,0.04374515485901104,0.04373762115790354,0.0254484474848674,-0.018296707374143635,0.025442955236924757,-0.018294665920978788,0.03333333333333333,0.9857142857142858,210,
blood_endothelial,spearman,Mean three-pair coupling,high_contamination_excluded,3,4,0.030436531902608345,0.030433894114343392,0.01213982452846471,-0.018296707374143635,0.012139228193364606,-0.018294665920978788,0.14285714285714285,0.9428571428571428,35,
blood_endothelial_structural_balanced,pearson,Arterial–matrix,all_structural_individuals,6,4,0.022486691259522643,0.022375635427876968,-0.058852823875139515,-0.08133951513466216,-0.05878496926007531,-0.08116060468795228,0.7666666666666667,0.6285714285714286,210,0.8285714285714286
blood_endothelial_structural_balanced,pearson,Arterial–matrix,high_contamination_excluded,3,4,0.022720351696620088,0.022608491605211542,-0.05861916343804207,-0.08133951513466216,-0.058552113082740734,-0.08116060468795228,0.8,0.6,35,0.8000000000000002
blood_endothelial_structural_balanced,pearson,Arterial–plasticity transcripts,all_structural_individuals,6,4,-0.0067316619401156935,-0.006708877308608835,0.054845950245672674,0.06157761218578837,0.05479102269843949,0.06149990000704832,0.8285714285714286,0.41904761904761906,210,0.8285714285714286
blood_endothelial_structural_balanced,pearson,Arterial–plasticity transcripts,high_contamination_excluded,3,4,-0.01744926853231188,-0.01740017792519792,0.04412834365347649,0.06157761218578837,0.0440997220818504,0.06149990000704832,0.6857142857142857,0.37142857142857144,35,0.8000000000000002
blood_endothelial_structural_balanced,pearson,Matrix–plasticity transcripts,all_structural_individuals,6,4,0.06831690046325609,0.06827624333918282,0.04853632546444422,-0.019780574998811862,0.048498247792756834,-0.01977799554642599,0.13333333333333333,0.9380952380952381,210,0.4
blood_endothelial_structural_balanced,pearson,Matrix–plasticity transcripts,high_contamination_excluded,3,4,0.06286192180874361,0.06283270910042986,0.04308134680993176,-0.019780574998811862,0.04305471355400387,-0.01977799554642599,0.22857142857142856,0.9142857142857143,35,0.6857142857142857
blood_endothelial_structural_balanced,pearson,Mean three-pair coupling,all_structural_individuals,6,4,0.028023976594221008,0.028022123346723445,0.014843150611659126,-0.013180825982561883,0.014842060631089123,-0.01318006271563432,0.1761904761904762,0.9238095238095239,210,
blood_endothelial_structural_balanced,pearson,Mean three-pair coupling,high_contamination_excluded,3,4,0.022711001657683947,0.022709949877557045,0.009530175675122064,-0.013180825982561883,0.009529887161922724,-0.01318006271563432,0.4,0.8285714285714286,35,
blood_endothelial_structural_balanced,spearman,Arterial–matrix,all_structural_individuals,6,4,0.011976962610795762,0.011945181173067379,-0.04545451180358007,-0.05743147441437583,-0.04542323293974401,-0.05736841411281139,0.8380952380952381,0.580952380952381,210,0.8523809523809524
