contrast,dataset,sample,role,module,raw_module_score,z_vs_control
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-05,case,AMA,0.35207869956929677,0.35207869956929677
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-18,case,AMA,6.800142318346114,6.800142318346114
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-19,case,AMA,4.793114614631564,4.793114614631564
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-07,case,AMA,-1.5346489840105304,-1.5346489840105304
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-08,case,AMA,0.6516395067302,0.6516395067302
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-09,case,AMA,-0.29573867765331424,-0.29573867765331424
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-13,case,AMA,-0.47941160864814836,-0.47941160864814836
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-14,case,AMA,1.3773594179536148,1.3773594179536148
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-15,case,AMA,0.8367170751835217,0.8367170751835217
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-01,case,AMA,0.3004421179891447,0.3004421179891447
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-03,case,AMA,-0.2767715019707487,-0.2767715019707487
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-06,case,AMA,0.7703715481390656,0.7703715481390656
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-10,case,AMA,-0.2840861822361594,-0.2840861822361594
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-02,case,AMA,-1.5501683637485602,-1.5501683637485602
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-11,case,AMA,2.3985760910059315,2.3985760910059315
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-12,case,AMA,-0.3960492702955955,-0.3960492702955955
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-21,case,AMA,0.4130397663656776,0.4130397663656776
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-16,case,AMA,-0.601982715323031,-0.601982715323031
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-17,case,AMA,-0.017790544663346442,-0.017790544663346442
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-20,case,AMA,0.7014607373267451,0.7014607373267451
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,TOF-22,case,AMA,0.48417497158952144,0.48417497158952144
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-06,control,AMA,1.0256354560598036,1.0256354560598036
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-02,control,AMA,0.3705782302826124,0.3705782302826124
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-04,control,AMA,-0.3892562363923811,-0.3892562363923811
GSE36761_TOF_RV_vs_healthy_RV,GSE36761,NH-08,control,AMA,-1.0069574499500324,-1.0069574499500324
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,arterial_maturation,8.095809406862283,-0.18045228373104988
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,arterial_maturation,8.264247745280532,0.13751585124242338
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,arterial_maturation,4.7716711830428045,-6.455567802843796
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,arterial_maturation,6.19987823524572,-3.7594812882802904
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,arterial_maturation,8.609387525793222,0.7890507294972234
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,arterial_maturation,7.667685837595762,-0.9886391498341796
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,arterial_maturation,7.6534571323496055,-1.0154992751043157
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,arterial_maturation,8.182837780445725,-0.016165163008041845
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-14,case,arterial_maturation,7.636798638539284,-1.0469462144298647
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-15,case,arterial_maturation,7.481268573620654,-1.3405468586708578
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-01,case,arterial_maturation,8.10250773794885,-0.167807562445913
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-03,case,arterial_maturation,8.048339528848782,-0.27006316876538067
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-06,case,arterial_maturation,7.507864676610375,-1.2903402765790464
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-10,case,arterial_maturation,7.5967167731522975,-1.1226104373320853
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-02,case,arterial_maturation,8.927344214758522,1.3892709426745586
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-11,case,arterial_maturation,6.757784269652932,-2.7062986048319653
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-12,case,arterial_maturation,8.238140873222518,0.08823281095461684
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-21,case,arterial_maturation,8.11764839294918,-0.1392259112734968
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-16,case,arterial_maturation,8.852142271175222,1.2473090712139945
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-17,case,arterial_maturation,7.896327300374273,-0.557023045210971
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-20,case,arterial_maturation,7.495681005718865,-1.3133399044956118
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-22,case,arterial_maturation,7.99703034835329,-0.3669216665538002
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-03,control,arterial_maturation,9.170845779902661,1.8489390874632374
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-05,control,arterial_maturation,8.043271749409355,-0.2796298291346508
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-06,control,arterial_maturation,7.950040762236816,-0.4556258843758148
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-07,control,arterial_maturation,7.703423111574745,-0.9211763948412098
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-01,control,arterial_maturation,7.811019138916012,-0.7180628491631134
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-02,control,arterial_maturation,7.7056001801770275,-0.9170666508857797
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-04,control,arterial_maturation,8.65714884312631,0.879211776791387
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-08,control,arterial_maturation,8.489858491173257,0.5634107441459274
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,endothelial_matrix_core,10.805934007615011,-0.16577939457469448
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,endothelial_matrix_core,10.116272188268061,-1.9651768228265996
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,endothelial_matrix_core,7.180595376087665,-9.62465449409768
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,endothelial_matrix_core,8.250559403831646,-6.8330101463394515
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,endothelial_matrix_core,11.836159159528131,2.5221822075744122
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-08,case,endothelial_matrix_core,10.594902193709336,-0.7163827375012007
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-09,case,endothelial_matrix_core,11.315921975203954,1.16483078504626
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-13,case,endothelial_matrix_core,11.089944178502904,0.5752318616044212
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-14,case,endothelial_matrix_core,10.056774987638445,-2.1204110358826376
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-15,case,endothelial_matrix_core,10.181950229592045,-1.7938161713657041
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-01,case,endothelial_matrix_core,10.29568954261534,-1.497058801878362
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-03,case,endothelial_matrix_core,11.397048730753308,1.3764986941617134
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-06,case,endothelial_matrix_core,10.191647309743159,-1.7685155086409088
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-10,case,endothelial_matrix_core,11.289338921312964,1.095472909251681
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-02,case,endothelial_matrix_core,11.25867850220114,1.015476775275202
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-11,case,endothelial_matrix_core,9.232107631935579,-4.2720515608288565
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-12,case,endothelial_matrix_core,10.962656060291106,0.2431242892666976
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-21,case,endothelial_matrix_core,10.460876262101493,-1.066069946345937
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-16,case,endothelial_matrix_core,10.985159072860105,0.3018369246608373
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-17,case,endothelial_matrix_core,11.165803144595028,0.7731555753243863
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-20,case,endothelial_matrix_core,10.210427300304934,-1.7195166141516474
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-22,case,endothelial_matrix_core,10.432672069824937,-1.139657536124959
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-03,control,endothelial_matrix_core,10.988323996537648,0.31009453058627123
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-05,control,endothelial_matrix_core,11.001345881030716,0.3440699440577702
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-06,control,endothelial_matrix_core,10.162369524139363,-1.8449042119770835
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-07,control,endothelial_matrix_core,11.115793103832669,0.6426743217445191
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-01,control,endothelial_matrix_core,10.576405055167305,-0.7646436424677346
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-02,control,endothelial_matrix_core,10.796121371717161,-0.1913815539282212
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-04,control,endothelial_matrix_core,10.85881949444736,-0.027795811420724886
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,NH-08,control,endothelial_matrix_core,11.456604770109417,1.5318864234051945
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-04,case,tgfb_plasticity_core,7.061392179773733,0.04276389031325069
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-05,case,tgfb_plasticity_core,7.086019425367572,0.12579068781080216
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-18,case,tgfb_plasticity_core,4.68852265708448,-7.956984055422265
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-19,case,tgfb_plasticity_core,5.010973577035591,-6.869892641497423
GSE36761_TOF_RV_vs_all_healthy_ventricle_sensitivity,GSE36761,TOF-07,case,tgfb_plasticity_core,7.74201688650064,2.3373806180314274
