dataset,probe_id,gene_symbol
GSE23959,3098552,SOX17
GSE23959,3098555,SOX17
GSE23959,3098556,SOX17
GSE23959,3098557,SOX17
GSE23959,3098558,SOX17
GSE23959,3098559,SOX17
GSE23959,3134549,SNAI2
GSE23959,3134550,SNAI2
GSE23959,3134552,SNAI2
GSE23959,3134553,SNAI2
GSE23959,3134554,SNAI2
GSE23959,3141759,HEY1
GSE23959,3141760,HEY1
GSE23959,3141761,HEY1
GSE23959,3141762,HEY1
GSE23959,3141763,HEY1
GSE23959,3141766,HEY1
GSE23959,3141767,HEY1
GSE23959,3141768,HEY1
GSE23959,3141769,HEY1
GSE23959,3141770,HEY1
GSE23959,3165830,TEK
GSE23959,3165831,TEK
GSE23959,3165840,TEK
GSE23959,3165844,TEK
GSE23959,3165845,TEK
GSE23959,3165848,TEK
GSE23959,3165850,TEK
GSE23959,3165852,TEK
GSE23959,3165853,TEK
GSE23959,3165854,TEK
GSE23959,3165857,TEK
GSE23959,3165858,TEK
GSE23959,3165859,TEK
GSE23959,3165861,TEK
GSE23959,3165862,TEK
GSE23959,3165864,TEK
GSE23959,3165865,TEK
GSE23959,3165867,TEK
GSE23959,3165869,TEK
GSE23959,3165870,TEK
GSE23959,3165871,TEK
GSE23959,3165872,TEK
GSE23959,3165875,TEK
GSE23959,3165876,TEK
GSE23959,3165877,TEK
GSE23959,3165878,TEK
GSE23959,3165879,TEK
GSE23959,3168067,CA9
GSE23959,3168068,CA9
GSE23959,3168071,CA9
GSE23959,3168072,CA9
GSE23959,3168073,CA9
GSE23959,3168076,CA9
GSE23959,3168078,CA9
GSE23959,3168079,CA9
GSE23959,3168083,CA9
GSE23959,3168085,CA9
GSE23959,3168086,CA9
GSE23959,3181730,TGFBR1
GSE23959,3181747,TGFBR1
GSE23959,3181748,TGFBR1
GSE23959,3181752,TGFBR1
GSE23959,3181754,TGFBR1
GSE23959,3181756,TGFBR1
GSE23959,3181758,TGFBR1
GSE23959,3181760,TGFBR1
GSE23959,3181762,TGFBR1
GSE23959,3181763,TGFBR1
GSE23959,3181764,TGFBR1
GSE23959,3181765,TGFBR1
GSE23959,3181766,TGFBR1
GSE23959,3181767,TGFBR1
GSE23959,3219225,KLF4
GSE23959,3219226,KLF4
GSE23959,3219227,KLF4
GSE23959,3219228,KLF4
GSE23959,3219229,KLF4
GSE23959,3219230,KLF4
GSE23959,3219233,KLF4
GSE23959,3219234,KLF4
GSE23959,3219235,KLF4
GSE23959,3219240,KLF4
GSE23959,3219242,KLF4
GSE23959,3226101,ENG
GSE23959,3226102,ENG
GSE23959,3226103,ENG
GSE23959,3226104,ENG
GSE23959,3226106,ENG
GSE23959,3226107,ENG
GSE23959,3226109,ENG
GSE23959,3226110,ENG
GSE23959,3226111,ENG
GSE23959,3226113,ENG
GSE23959,3226115,ENG
GSE23959,3226116,ENG
GSE23959,3226117,ENG
GSE23959,3226118,ENG
GSE23959,3226119,ENG
GSE23959,3226121,ENG
GSE23959,3226123,ENG
GSE23959,3226127,ENG
GSE23959,3226133,ENG
GSE23959,3226134,ENG
