contrast,dataset,sample,disease,arterial_maturation,endothelial_matrix_core,tgfb_plasticity_transcript,AMA,endothelial_abundance,fibroblast,cardiomyocyte,immune,mural_pericyte
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,treat5,1.0,-0.9923831735927603,-1.112972141602953,-4.093474329006322,2.066276548067345,0.5256347878256634,-1.8645155558897981,1.4525417150075202,-0.9256243095386556,-1.3921294525204921
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,treat4,1.0,-0.015444991508179903,-0.43347311397796046,-1.3725326418578934,0.607150249114678,0.07582710316480401,-0.932544352425471,1.3439318519332784,-1.0975460591999018,-0.2615372568085834
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,control4,0.0,1.3348756163966826,1.5933540389977452,1.6126813393771233,-1.5136369982571836,1.7404765574392855,1.0885918135050363,0.6151538884056933,1.747263087268224,1.664478518526049
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,control2,0.0,0.09081673540977694,-0.651969398041022,-0.9613028562372951,0.50748517295618,-0.5433695111813485,-1.179279886845629,-1.7127795391733656,-0.5781380956843711,-1.038287014640935
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,control3,0.0,-0.40697477419323336,-0.5336778891516133,0.008381393903356139,0.31075708981383016,-0.7532157075561917,-0.2912052814395097,0.36538237620497327,-0.292451860757836,-0.2496185555943845
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,control1,0.0,-1.3826680670753055,0.3741753099446682,0.028898489462201117,0.32653142255614537,-0.2913620396328329,0.9867308908865015,-0.012281293703656148,-0.17092109636578143,-0.2838331135528605
GSE217772_TOF_RV_vs_healthy_RV,GSE217772,control5,0.0,0.36395048946208514,-0.7818820617497817,-0.6886583665053855,0.3688633129310273,-0.1525292990689203,-0.6048375361063859,0.744524568266355,-0.7057520344602364,-0.09273983473786361
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590279,1.0,0.9570643164644408,-0.5619133032382294,-0.6248735129003463,0.07657416655804498,0.0600533720609669,-0.8724091848011146,2.21763802179328,-0.15043947232443333,0.22132701621089584
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590280,1.0,-0.17517701203189112,-1.6652732336047484,-1.6260132846623023,1.1554878434329805,-0.3211254783193952,-0.48969157166922134,0.9670728541892565,-0.5055390599008672,-0.2724799653653039
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590281,1.0,0.6380336040929899,-1.7269736204327426,-1.2797121040286916,0.7895507067894814,-0.04673472015116357,-0.36628162603654946,2.2708818054589304,-0.6255065017888501,0.28689951542973513
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590282,1.0,0.035907025581985774,0.278354228574953,-0.5173753960380468,0.06770471396036935,0.12615738348400624,0.18947563577179316,1.119314343462898,-0.5598272327889938,0.8823639536008228
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590283,1.0,-0.07909929019595913,-1.7456677403212064,-2.1434528445107373,1.3227399583426342,-0.4576921525504607,-0.3824523360668436,1.8095270705104962,-0.939035642108996,0.06442024879337462
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590284,1.0,0.36825407491074674,-1.6004333481688262,-1.59495413114202,0.9423778014666997,-0.3482199682328214,-0.7515019862875786,1.4796056498698893,-0.8162473298648059,0.1775757467275977
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590274,0.0,-0.09075243134834111,0.15794360964440785,-0.19334765278161678,0.04205215816185002,0.1848078502450024,0.20830195819974628,-1.1199124184636244,-0.6747193887489455,0.019341743909544917
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590275,0.0,1.506725869951142,0.7264352304852548,0.46393403693907265,-0.8990317124584899,0.6605443800584055,0.894034579008006,1.3641480423658654,-1.381650701075763,1.0169878395308827
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590276,0.0,0.03331414000846938,0.8879235181320265,0.42211000306336455,-0.4477825537346201,0.880514454312273,0.9549821040886487,0.5016493514828547,0.29749534659458177,0.9589099068784703
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590277,0.0,-1.3035280930923998,-1.6238535830446452,0.9438632032956767,0.6611728242804561,-1.6582048587332296,-1.2826688191966962,-0.7942927121997582,0.8947902904133004,-1.1639974927929
GSE23959_HLHS_ventricle_vs_healthy_RV,GSE23959,GSM590278,0.0,-0.1457594855188704,-0.14844877521704788,-1.6365595905164971,0.6435892837508052,-0.06766182588245497,-0.7746498220997019,0.04840773681465572,0.8640844528168254,-0.8312419975259978
