contrast,dataset,gene,gene_set,present,test,n_case,n_control,mean_case,mean_control,delta_case_minus_control,ci95_low,ci95_high,p_value,effect_size_cohen_d,fdr_within_contrast
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,EDN1,flow_mechanosensing,True,paired_t,10,10,4.597283066666667,4.6905552,-0.09327213333333342,-0.510250509106744,0.32370624244007706,0.6250092651628109,-0.16001516767112753,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,EFNB2,arterial_maturation,True,paired_t,10,10,6.08076785,6.06008025,0.020687599999999674,-0.29098786579465624,0.33236306579465563,0.8839561260135584,0.047482138160045824,0.9580771574456363
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,EMCN,endothelial_identity,True,paired_t,10,10,7.632643333333334,7.965957166666669,-0.3333138333333334,-0.7614895304344114,0.09486186376774453,0.11208928783566054,-0.5568703551950261,0.2742888522554838
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ENG,endothelial_identity,True,paired_t,10,10,5.8551221,5.71196185,0.14316025000000013,-0.14043356464116105,0.4267540646411613,0.2829439605552544,0.3611174440725017,0.4933381876348025
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,EPAS1,hypoxia_inflammation,True,paired_t,10,10,5.6196054,5.5433116,0.07629380000000001,-0.05257517225414436,0.20516277225414437,0.21332472095598748,0.4235099866018332,0.3920562439191121
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,FLT1,endothelial_identity,True,paired_t,10,10,4.9478999,4.78421215,0.16368774999999997,0.07082389959832752,0.2565516004016724,0.0031700470108418583,1.260933742019282,0.023951466304138483
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,FN1,ecm_integrin;tgfb_endmt,True,paired_t,10,10,7.414698057142857,7.525464185714286,-0.11076612857142862,-0.296981700447955,0.07544944330509776,0.2113502437252758,-0.42551390424934904,0.3920562439191121
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,GJA5,arterial_maturation,True,paired_t,10,10,5.197426000000001,5.0697482,0.12767780000000015,-0.42104239132069177,0.6763979913206921,0.6113581950844795,0.16645131236980826,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,HEY1,arterial_maturation,True,paired_t,10,10,6.9259188499999995,7.12686525,-0.20094640000000002,-0.4731671855169106,0.07127438551691057,0.12928532598894832,-0.5280581153896267,0.2848498044782695
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,HEY2,arterial_maturation,True,paired_t,10,10,3.7479196000000004,3.7640324500000006,-0.016112850000000022,-0.14475942754446994,0.1125337275444699,0.7833310981843077,-0.08959770825139157,0.887775244608882
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,HIF1A,hypoxia_inflammation,True,paired_t,10,10,9.662042199999998,9.632469799999999,0.02957239999999999,-0.3630718986980688,0.42221669869806877,0.8684825105132037,0.053877824372522656,0.9580771574456363
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,HMOX1,hypoxia_inflammation,True,paired_t,10,10,4.0596309,4.0101252,0.049505699999999965,-0.09861239148536763,0.19762379148536754,0.46892599594772105,0.23909465768002042,0.6784461217967028
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ICAM1,flow_mechanosensing,True,paired_t,10,10,4.583250833333333,4.288155266666666,0.29509556666666664,0.15773529347865373,0.43245583985467956,0.0008959991357391371,1.536824633767172,0.010154656871710221
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,IL6,hypoxia_inflammation,True,paired_t,10,10,6.053601499999999,3.4167308,2.6368707000000002,1.6571366236885998,3.6166047763114006,0.00018178612280244247,1.9253220960716637,0.004120485450188696
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ITGA5,ecm_integrin,True,paired_t,10,10,5.5832627,5.3239196,0.2593431,-0.006594028992859824,0.5252802289928598,0.054795768336519994,0.6976193143975087,0.16936873849469816
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ITGB1,ecm_integrin,True,paired_t,10,10,5.916216725,6.0113561625,-0.09513943750000005,-0.34307036236540805,0.15279148736540799,0.4079085499958037,-0.27450651298435574,0.637780868436964
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,JAG1,arterial_maturation,True,paired_t,10,10,5.8191219599999995,5.6335543800000005,0.18556757999999993,0.07429028426653575,0.2968448757334641,0.0044001378808077455,1.1929392155181842,0.027200852354084246
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,KDR,endothelial_identity,True,paired_t,10,10,6.0325588,6.996074,-0.9635152000000001,-1.5794845822136576,-0.3475458177863425,0.006328732367006154,-1.118979728912285,0.033104138535109115
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,KLF2,flow_mechanosensing,True,paired_t,10,10,5.831457299999999,5.2558327,0.5756245999999998,0.315419197816759,0.8358300021832407,0.0007346160427598165,1.5825076243675422,0.009990778181533506
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,KLF4,flow_mechanosensing,True,paired_t,10,10,7.9720888,5.9748151,1.9972737000000005,1.3112376729468451,2.683309727053156,0.00010090359507311803,2.082636301982255,0.003430722232486013
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,LAMA4,ecm_integrin,True,paired_t,10,10,4.7916045800000004,4.9726273,-0.18102271999999991,-0.3230506115032805,-0.038994828496719286,0.01808202772258107,-0.9117635382667266,0.06456808599340189
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,LDHA,hypoxia_inflammation,True,paired_t,10,10,9.7434501,10.0720295,-0.3285793999999994,-0.8130909129460411,0.1559321129460422,0.15936940266239683,-0.48513097556852863,0.3283975570013025
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,MYH6,cardiac_stress,True,paired_t,10,10,12.357184,12.252452649999999,0.10473135000000014,-0.4598573460418246,0.6693200460418248,0.6845946985913377,0.1326988921658835,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,MYH7,cardiac_stress,True,paired_t,10,10,11.7366505,11.838775,-0.10212449999999987,-0.37477605126931013,0.17052705126931036,0.41878113935624234,-0.2679444367864274,0.637780868436964
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,NFKB1,hypoxia_inflammation,True,paired_t,10,10,5.3744933,5.474722699999999,-0.1002294,-0.3109772198514388,0.11051841985143881,0.3099844171880971,-0.3402160625995516,0.5269735092197652
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,NOS3,flow_mechanosensing,True,paired_t,10,10,3.2475267000000003,3.2512119,-0.003685200000000011,-0.17073452084680005,0.16336412084680005,0.9612885289458821,-0.015781167241624258,1.0
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,NOTCH1,arterial_maturation,True,paired_t,10,10,4.442056450000001,4.4133147,0.02874175000000001,-0.11995058976902048,0.1774340897690205,0.6722217086949043,0.13827618412704598,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,NPPA,cardiac_stress,True,paired_t,10,10,12.899469999999999,12.2501672,0.6493027999999997,-0.9994445620158573,2.2980501620158567,0.39618803149115867,0.2817188689710376,0.637780868436964
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,NPPB,cardiac_stress,True,paired_t,10,10,11.3890813,9.9072244,1.4818569,-0.26057982972701055,3.2242936297270104,0.0865206695557163,0.6083759306665676,0.22724391723823623
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,NRP1,endothelial_identity,True,paired_t,10,10,5.1231988,5.1223022,0.0008965999999999141,-0.1862617837607833,0.18805498376078314,0.9915898533080478,0.003426985150251291,1.0
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,PECAM1,endothelial_identity,True,paired_t,10,10,6.39945065,6.3867996,0.012651049999999841,-0.22408092735344937,0.24938302735344903,0.9064336508393316,0.038228954476091204,0.9630857540167899
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,PGK1,hypoxia_inflammation,True,paired_t,10,10,6.718986983333335,6.795211516666666,-0.07622453333333298,-0.1652970408762564,0.01284797420959044,0.08487121265243038,-0.612172575226024,0.22724391723823623
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,POSTN,ecm_integrin,True,paired_t,10,10,6.14531395,6.528621799999999,-0.3833078500000001,-0.87705578079923,0.11044008079922973,0.11294246857578745,-0.5553479832642884,0.2742888522554838
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,ROBO4,endothelial_identity,True,paired_t,10,10,4.56593385,4.5328598,0.03307405000000001,-0.12393903543099506,0.1900871354309951,0.6450654101679418,0.15068648584908662,0.7984121583983063
GSE132176_ASD_POST_vs_PRE_CPB_paired,GSE132176,SMAD2,tgfb_endmt,True,paired_t,10,10,5.3042836,5.4058480499999995,-0.10156444999999988,-0.18030557652521723,-0.02282332347478254,0.017091522360644998,-0.9227049943887206,0.06456808599340189
